step: 3675, t: 1, cfl: 0.33, E: 19.5972, Z: 224.6500, W: -81.5641, walltime: 0.13 min
step: 3700, t: 1, cfl: 0.32, E: 19.5221, Z: 223.3411, W: -60.8563, walltime: 0.13 min
step: 3725, t: 1, cfl: 0.33, E: 19.5056, Z: 222.0069, W: 0.2668, walltime: 0.13 min
step: 3750, t: 1, cfl: 0.32, E: 19.4765, Z: 220.8572, W: -40.5095, walltime: 0.13 min
step: 3775, t: 1, cfl: 0.32, E: 19.5598, Z: 222.1224, W: 70.7472, walltime: 0.13 min
step: 3800, t: 1, cfl: 0.32, E: 19.6272, Z: 223.9949, W: 137.6806, walltime: 0.13 min
step: 3825, t: 1, cfl: 0.32, E: 19.6342, Z: 224.5722, W: 103.5943, walltime: 0.13 min
step: 3850, t: 1, cfl: 0.32, E: 19.5313, Z: 221.6738, W: 62.1053, walltime: 0.13 min
step: 3875, t: 1, cfl: 0.31, E: 19.4918, Z: 220.2707, W: -135.7321, walltime: 0.13 min
step: 3900, t: 1, cfl: 0.31, E: 19.5149, Z: 220.9893, W: 95.5312, walltime: 0.13 min
step: 3925, t: 1, cfl: 0.30, E: 19.5025, Z: 220.0826, W: 39.2132, walltime: 0.13 min
step: 3950, t: 1, cfl: 0.30, E: 19.4949, Z: 218.5777, W: -53.5103, walltime: 0.13 min
step: 3975, t: 1, cfl: 0.30, E: 19.4843, Z: 218.3437, W: 91.1468, walltime: 0.13 min
step: 4000, t: 1, cfl: 0.30, E: 19.3353, Z: 214.0873, W: -178.2116, walltime: 0.13 min
step: 4025, t: 1, cfl: 0.29, E: 19.3671, Z: 212.8012, W: 17.9323, walltime: 0.13 min
step: 4050, t: 1, cfl: 0.29, E: 19.4269, Z: 213.2275, W: 21.5651, walltime: 0.13 min
step: 4075, t: 1, cfl: 0.29, E: 19.5530, Z: 215.7437, W: 111.7708, walltime: 0.13 min
step: 4100, t: 1, cfl: 0.29, E: 19.5423, Z: 215.2805, W: 75.4795, walltime: 0.13 min
step: 4125, t: 1, cfl: 0.28, E: 19.5860, Z: 214.9511, W: 22.8668, walltime: 0.14 min
step: 4150, t: 1, cfl: 0.28, E: 19.5659, Z: 215.0806, W: -51.1888, walltime: 0.14 min
step: 4175, t: 1, cfl: 0.27, E: 19.5232, Z: 214.8447, W: -80.4488, walltime: 0.14 min
step: 4200, t: 1, cfl: 0.26, E: 19.5675, Z: 215.3443, W: -123.1339, walltime: 0.14 min
step: 4225, t: 1, cfl: 0.26, E: 19.6242, Z: 215.6730, W: -7.8861, walltime: 0.14 min
step: 4250, t: 1, cfl: 0.25, E: 19.5902, Z: 214.6537, W: 34.9956, walltime: 0.14 min
step: 4275, t: 1, cfl: 0.25, E: 19.5375, Z: 213.3711, W: 22.4412, walltime: 0.14 min
step: 4300, t: 1, cfl: 0.25, E: 19.6070, Z: 213.3675, W: 25.2598, walltime: 0.14 min
step: 4325, t: 1, cfl: 0.25, E: 19.4955, Z: 210.4242, W: 169.1359, walltime: 0.14 min
step: 4350, t: 1, cfl: 0.24, E: 19.4999, Z: 211.8261, W: 82.1742, walltime: 0.14 min
step: 4375, t: 1, cfl: 0.24, E: 19.7200, Z: 216.2071, W: -13.9348, walltime: 0.14 min
step: 4400, t: 1, cfl: 0.24, E: 19.6156, Z: 214.5470, W: -65.5779, walltime: 0.14 min
step: 4425, t: 1, cfl: 0.23, E: 19.5623, Z: 213.3064, W: 149.8839, walltime: 0.14 min
step: 4450, t: 1, cfl: 0.23, E: 19.5587, Z: 214.7395, W: 60.4779, walltime: 0.14 min
step: 4475, t: 1, cfl: 0.23, E: 19.6057, Z: 214.0674, W: 66.0990, walltime: 0.14 min
step: 4500, t: 1, cfl: 0.22, E: 19.4871, Z: 211.9499, W: -56.5089, walltime: 0.14 min
step: 4525, t: 1, cfl: 0.21, E: 19.5024, Z: 212.9588, W: 126.7867, walltime: 0.14 min
step: 4550, t: 1, cfl: 0.21, E: 19.5021, Z: 213.5424, W: 26.8941, walltime: 0.14 min
step: 4575, t: 1, cfl: 0.21, E: 19.4457, Z: 212.0653, W: 35.6935, walltime: 0.14 min
step: 4600, t: 1, cfl: 0.21, E: 19.3648, Z: 210.6203, W: -12.9246, walltime: 0.15 min
